,rx,semivar_x,semivar_x_norm,ry,semivar_y,semivar_y_norm
0,0,0.0,0.0,0,0.0,0.0
1,1,5.0848,0.31365969206474537,1,5.2352,0.3144339803959254
2,2,7.9936,0.49309119621002756,2,8.4608,0.5081683644051509
3,3,9.7056,0.5986971969996052,3,10.6496,0.6396309821256967
4,4,10.7296,0.6618634030793524,4,12.0096,0.7213146261772055
5,5,11.5232,0.7108172127911566,5,12.912,0.7755141264655008
6,6,12.1632,0.7502960915909987,6,13.5328,0.8128003075148953
7,7,12.5568,0.7745756020529017,7,14.0512,0.8439361906592351
8,8,12.7808,0.7883932096328463,8,14.4864,0.8700749567557179
9,9,13.0272,0.8035925779707855,9,14.7456,0.8856428983278878
10,10,13.2608,0.8180023687327279,10,14.9152,0.8958293292331347
11,11,13.5648,0.8367548361626529,11,15.0432,0.9035172016144533
12,12,13.904,0.8576786419265692,12,15.1488,0.909859696329041
13,13,14.1088,0.8703118831425187,13,15.296,0.9187007495675572
14,14,14.16,0.873470193446506,14,15.3824,0.9238900634249472
15,15,14.2336,0.8780102645084878,15,15.4752,0.929463770901403
16,16,14.272,0.8803789972364784,16,15.52,0.9321545262348645
17,17,14.2944,0.8817607579944728,17,15.5264,0.9325389198539304
18,18,14.1728,0.8742597710225029,18,15.472,0.9292715740918701
19,19,14.1216,0.8711014607185156,19,15.3856,0.9240822602344801
20,20,14.1152,0.8707066719305171,20,15.328,0.9206227176628868
21,21,14.176,0.8744571654165021,21,15.2288,0.914664616567365
22,22,14.1056,0.8701144887485195,22,15.2416,0.9154334038054969
23,23,14.144,0.87248322147651,23,15.296,0.9187007495675572
24,24,14.096,0.8695223055665219,24,15.376,0.9235056698058812
25,25,14.112,0.8705092775365179,25,15.504,0.9311935421871997
26,26,14.1856,0.8750493485984998,26,15.5584,0.9344608879492601
27,27,14.272,0.8803789972364784,27,15.632,0.9388814145685181
28,28,14.496,0.8941966048164232,28,15.776,0.9475302709975014
29,29,14.5952,0.9003158310303987,29,15.8464,0.9517586008072266
30,30,14.8224,0.9143308330043426,30,15.8816,0.9538727657120892
31,31,15.1424,0.9340702724042637,31,15.9392,0.9573323082836825
32,32,15.3216,0.9451243584682194,32,15.9872,0.9602152604266769
33,33,15.4208,0.9512435846821949,33,15.9264,0.9565635210455506
34,34,15.4848,0.9551914725621792,34,15.8528,0.9521429944262926
35,35,15.536,0.9583497828661665,35,15.7984,0.9488756486642322
36,36,15.5744,0.9607185155941571,36,15.7888,0.9482990582356333
37,37,15.6128,0.9630872483221475,37,15.776,0.9475302709975014
38,38,15.728,0.9701934465061192,38,15.776,0.9475302709975014
39,39,15.792,0.9741413343861033,39,15.744,0.9456083029021718
40,40,15.7728,0.9729569680221081,40,15.728,0.944647318854507
41,41,15.6896,0.9678247137781286,41,15.6736,0.9413799730924467
42,42,15.6544,0.9656533754441373,42,15.6256,0.9384970209494523
43,43,15.5904,0.9617054875641531,43,15.6512,0.9400345954257159
44,44,15.536,0.9583497828661665,44,15.7568,0.9463770901403037
45,45,15.6,0.9622976707461507,45,15.7696,0.9471458773784356
46,46,15.6608,0.9660481642321357,46,15.7568,0.9463770901403037
47,47,15.7888,0.9739439399921042,47,15.7952,0.9486834518546992
48,48,15.9584,0.9844058428740622,48,15.824,0.9504132231404959
49,49,16.0352,0.9891433083300433,49,15.8624,0.9527195848548914
50,50,16.0704,0.9913146466640346,50,15.8944,0.954641552950221
51,51,16.0032,0.9871693643900512,51,16.0512,0.9640591966173363
52,52,16.0704,0.9913146466640346,52,16.1312,0.9688641168556602
53,53,16.1504,0.996249506514015,53,16.096,0.9667499519507976
54,54,16.1824,0.9982234504540071,54,15.9904,0.9604074572362099
55,55,16.192,0.9988156336360047,55,15.8112,0.949644435902364
56,56,16.208,0.9998026056060005,56,15.6064,0.9373438400922546
57,57,16.1824,0.9982234504540071,57,15.3728,0.9233134729963483
58,58,16.128,0.9948677457560204,58,15.2864,0.9181241591389584
59,59,16.064,0.9909198578760362,59,15.328,0.9206227176628868
60,60,16.0736,0.9915120410580338,60,15.4272,0.9265808187584086
61,61,16.0704,0.9913146466640346,61,15.6448,0.93965020180665
62,62,16.096,0.9928938018160284,62,15.9392,0.9573323082836825
63,63,16.1344,0.9952625345440188,63,16.1696,0.9711704785700557
64,64,16.2016,0.9994078168180022,64,16.2016,0.9730924466653853
65,65,16.2112,1.0,65,16.2592,0.9765519892369787
66,66,16.192,0.9988156336360047,66,16.32,0.980203728618105
67,67,16.1216,0.9944729569680221,67,16.3968,0.9848164520468959
68,68,16.0512,0.9901302803000395,68,16.4352,0.9871228137612915
69,69,16.0032,0.9871693643900512,69,16.5152,0.9919277339996156
70,70,16.0192,0.9881563363600474,70,16.5312,0.9928887180472803
71,71,16.032,0.9889459139360441,71,16.5408,0.9934653084758793
72,72,16.048,0.9899328859060401,72,16.5088,0.9915433403805498
73,73,16.0096,0.9875641531780496,73,16.4608,0.9886603882375552
74,74,15.9616,0.9846032372680615,74,16.4576,0.9884681914280223
75,75,15.9936,0.9865771812080536,75,16.5056,0.9913511435710168
76,76,15.9904,0.9863797868140544,76,16.5152,0.9919277339996156
77,77,15.984,0.985984998026056,77,16.464,0.9888525850470882
78,78,15.9552,0.9842084484800631,78,16.3968,0.9848164520468959
79,79,15.984,0.985984998026056,79,16.2944,0.9786661541418412
80,80,15.9296,0.9826292933280695,80,16.2752,0.9775129732846436
81,81,15.936,0.9830240821160678,81,16.3584,0.9825100903325005
82,82,15.9712,0.9851954204500591,82,16.3872,0.9842398616182971
83,83,16.0,0.986971969996052,83,16.3328,0.9809725158562368
84,84,15.968,0.9849980260560599,84,16.336,0.9811647126657697
85,85,15.9648,0.9848006316620607,85,16.4192,0.9861618297136268
86,86,15.8912,0.9802605606000788,86,16.5088,0.9915433403805498
87,87,15.92,0.9820371101460718,87,16.5952,0.9967326542379396
88,88,15.9904,0.9863797868140544,88,16.6496,1.0
89,89,16.0256,0.9885511251480458,89,16.6368,0.9992312127618682
90,90,16.0096,0.9875641531780496,90,16.6016,0.9971170478570057
91,91,16.0512,0.9901302803000395,91,16.4576,0.9884681914280223
92,92,16.0992,0.9930911962100275,92,16.3776,0.9836632711896983
93,93,16.08,0.9919068298460322,93,16.2432,0.975591005189314
94,94,16.0832,0.9921042242400315,94,16.2464,0.9757832019988469
95,95,16.112,0.9938807737860242,95,16.2016,0.9730924466653853
96,96,16.0992,0.9930911962100275,96,16.1312,0.9688641168556602
97,97,16.1216,0.9944729569680221,97,16.128,0.9686719200461272
98,98,16.0096,0.9875641531780496,98,16.1216,0.9682875264270614
99,99,15.9776,0.9855902092380576,99,16.0352,0.9630982125696713
