,rx,semivar_x,semivar_x_norm,ry,semivar_y,semivar_y_norm
0,0,0.0,0.0,0,0.0,0.0
1,1,8.1888,0.40084586466165417,1,8.1312,0.4033973646610573
2,2,12.304,0.6022869674185464,2,12.048,0.597713922844896
3,3,14.336,0.7017543859649124,3,14.0064,0.6948722019368153
4,4,15.488,0.7581453634085213,4,15.2352,0.7558342594062549
5,5,16.368,0.8012218045112781,5,16.0416,0.7958406096205746
6,6,17.1072,0.8374060150375939,6,16.6496,0.8260041276393078
7,7,17.5744,0.8602756892230577,7,17.1264,0.8496586759803143
8,8,17.872,0.87484335839599,8,17.4976,0.8680742975075408
9,9,18.1504,0.8884711779448623,9,17.6736,0.8768058421971742
10,10,18.3008,0.8958333333333334,10,17.7856,0.8823622797269407
11,11,18.4096,0.9011591478696743,11,17.9008,0.8880774726147007
12,12,18.5824,0.9096177944862156,12,17.9008,0.8880774726147007
13,13,18.6976,0.9152568922305766,13,17.8368,0.8849023654548341
14,14,18.6848,0.9146303258145363,14,17.8912,0.8876012065407208
15,15,18.7392,0.9172932330827068,15,17.888,0.8874424511827275
16,16,18.8352,0.9219924812030076,16,18.1056,0.8982378155262739
17,17,19.0304,0.9315476190476191,17,18.1632,0.901095411970154
18,18,19.1584,0.9378132832080202,18,18.1888,0.9023654548341007
19,19,19.2128,0.9404761904761906,19,18.304,0.9080806477218605
20,20,19.2384,0.9417293233082706,20,18.4416,0.914907128115574
21,21,19.3472,0.9470551378446116,21,18.5856,0.9220511192252738
22,22,19.4048,0.9498746867167921,22,18.608,0.9231624067312272
23,23,19.4432,0.9517543859649124,23,18.7232,0.9288775996189871
24,24,19.3632,0.9478383458646616,24,18.688,0.9271312906810604
25,25,19.4528,0.9522243107769424,25,18.6656,0.9260200031751072
26,26,19.4816,0.9536340852130326,26,18.7168,0.9285600889030005
27,27,19.4208,0.9506578947368421,27,18.7072,0.9280838228290205
28,28,19.3536,0.9473684210526316,28,18.64,0.9247499603111605
29,29,19.4848,0.9537907268170427,29,18.7296,0.9291951103349738
30,30,19.472,0.9531641604010026,30,18.7712,0.9312589299888872
31,31,19.408,0.9500313283208021,31,18.9696,0.9411017621844737
32,32,19.4688,0.9530075187969926,32,19.1232,0.9487220193681537
33,33,19.3248,0.9459586466165414,33,19.3728,0.9611049372916336
34,34,19.2256,0.9411027568922307,34,19.4944,0.9671376408953801
35,35,19.1744,0.9385964912280702,35,19.4304,0.9639625337355134
36,36,19.1552,0.9376566416040101,36,19.3344,0.9591998729957135
37,37,19.168,0.9382832080200502,37,19.3632,0.9606286712176535
38,38,19.1488,0.9373433583959901,38,19.328,0.9588823622797269
39,39,19.3472,0.9470551378446116,39,19.3792,0.9614224480076202
40,40,19.3856,0.9489348370927319,40,19.2288,0.9539609461819336
41,41,19.3856,0.9489348370927319,41,19.1232,0.9487220193681537
42,42,19.4528,0.9522243107769424,42,19.1072,0.947928242578187
43,43,19.6224,0.9605263157894737,43,19.1808,0.9515796158120337
44,44,19.6576,0.962249373433584,44,19.2288,0.9539609461819336
45,45,19.7376,0.9661654135338347,45,19.0848,0.9468169550722337
46,46,19.7376,0.9661654135338347,46,19.0048,0.9428480711224003
47,47,19.7824,0.968358395989975,47,19.088,0.946975710430227
48,48,19.8528,0.9718045112781954,48,19.1904,0.9520558818860136
49,49,19.6096,0.9598997493734337,49,19.216,0.9533259247499604
50,50,19.3728,0.9483082706766919,50,19.2672,0.9558660104778536
51,51,19.2,0.9398496240601504,51,19.5104,0.9679314176853469
52,52,18.9952,0.9298245614035089,52,19.6928,0.9769804730909667
53,53,18.896,0.924968671679198,53,19.7184,0.9782505159549134
54,54,18.8512,0.9227756892230576,54,19.6928,0.9769804730909667
55,55,18.8928,0.9248120300751881,55,19.6608,0.9753929195110334
56,56,19.0848,0.9342105263157896,56,19.536,0.9692014605492936
57,57,19.3216,0.9458020050125314,57,19.3376,0.9593586283537068
58,58,19.5264,0.9558270676691729,58,19.1904,0.9520558818860136
59,59,19.5712,0.9580200501253134,59,19.0528,0.9452294014923004
60,60,19.728,0.9656954887218047,60,18.9248,0.9388791871725671
61,61,19.7728,0.967888471177945,61,19.0208,0.943641847912367
62,62,19.7888,0.9686716791979949,62,19.056,0.9453881568502938
63,63,19.6704,0.9628759398496242,63,19.0688,0.946023178282267
64,64,19.5648,0.9577067669172934,64,19.1232,0.9487220193681537
65,65,19.5904,0.9589598997493735,65,19.1744,0.9512621050960469
66,66,19.4624,0.9526942355889724,66,19.1328,0.9491982854421336
67,67,19.4528,0.9522243107769424,67,19.1488,0.9499920622321004
68,68,19.28,0.9437656641604011,68,19.0176,0.9434830925543738
69,69,19.2352,0.9415726817042607,69,18.8736,0.9363391014446737
70,70,19.2576,0.9426691729323309,70,18.9056,0.937926655024607
71,71,19.2608,0.9428258145363408,71,18.9536,0.9403079853945071
72,72,19.1104,0.9354636591478697,72,19.1104,0.9480869979361802
73,73,19.152,0.9375000000000001,73,19.2512,0.955072233687887
74,74,19.2672,0.9431390977443609,74,19.3696,0.9609461819336401
75,75,19.344,0.9468984962406016,75,19.3824,0.9615812033656136
76,76,19.3856,0.9489348370927319,76,19.3824,0.9615812033656136
77,77,19.3184,0.9456453634085213,77,19.36,0.9604699158596602
78,78,19.3792,0.9486215538847119,78,19.3856,0.961739958723607
79,79,19.5136,0.9552005012531329,79,19.3408,0.9595173837117004
80,80,19.6,0.9594298245614036,80,19.424,0.9636450230195268
81,81,19.744,0.9664786967418547,81,19.4176,0.9633275123035402
82,82,19.7952,0.9689849624060152,82,19.5552,0.9701539926972534
83,83,19.7312,0.9658521303258146,83,19.6672,0.9757104302270202
84,84,19.6672,0.9627192982456141,84,19.68,0.9763454516589934
85,85,19.6608,0.9624060150375939,85,19.632,0.9739641212890936
86,86,19.8816,0.9732142857142857,86,19.4944,0.9671376408953801
87,87,19.9008,0.9741541353383459,87,19.44,0.9644387998094937
88,88,19.7824,0.968358395989975,88,19.4464,0.9647563105254803
89,89,19.7664,0.9675751879699249,89,19.4336,0.9641212890935068
90,90,19.6448,0.9616228070175439,90,19.4304,0.9639625337355134
91,91,19.6256,0.9606829573934836,91,19.3216,0.9585648515637403
92,92,19.7984,0.9691416040100251,92,19.4624,0.9655500873154468
93,93,19.9456,0.9763471177944862,93,19.632,0.9739641212890936
94,94,20.1312,0.9854323308270677,94,19.7504,0.9798380695348468
95,95,20.2624,0.9918546365914788,95,19.8464,0.9846007302746467
96,96,20.3104,0.9942042606516291,96,20.048,0.9946023178282266
